Category,Item,Serving Size,Calories,Calories from fat,TotalFat,Saturated Fat(g),Trans fat(g),Cholesterol,Sodium,Carbohydrates,Dietary Fiber,Total Sugar(g),Protein(g)
Beef & Pork,WHOPPER® Sandwich,270,660,360,40,12,1.5,90,980,49,2,11,28
Beef & Pork,w/o Mayo,249,500,200,22,9,1.5,80,840,49,2,11,28
Beef & Pork,WHOPPER® Sandwich with Cheese,292,740,420,46,16,2,115,1340,50,2,11,32
Beef & Pork,w/o Mayo,271,580,260,29,13,1.5,105,1200,50,2,11,32
Beef & Pork,Bacon & Cheese WHOPPER® Sandwich,303,790,460,51,17,2,125,1560,50,2,11,35
Beef & Pork,BBQ Bacon WHOPPER® Sandwich,303,800,460,51,17,2,125,1540,53,2,14,35
Beef & Pork,DOUBLE WHOPPER® Sandwich,354,900,520,58,20,3,175,1050,49,2,11,48
Beef & Pork,w/o Mayo,333,740,360,40,17,2.5,165,910,49,2,11,47
Beef & Pork,DOUBLE WHOPPER® Sandwich with Cheese,377,980,580,64,24,3,195,1410,50,2,11,52
Beef & Pork,w/o Mayo,355,820,420,47,21,3,185,1270,50,2,11,52
Beef & Pork,WHOPPER JR.®  Sandwich,134,310,160,18,5,0.5,40,390,27,1,7,13
Beef & Pork,BACON KINGTM Sandwich,356,1150,710,79,31,3.5,240,2150,49,2,10,61
Beef & Pork,Homestyle Cheeseburger,212,550,250,27,12,1.5,95,1140,48,2,10,30
Beef & Pork,Hamburger,93,220,80,8,3,0.5,30,380,26,1,6,11
Beef & Pork,Cheeseburger,104,270,110,12,5,0.5,40,560,27,1,7,13
Beef & Pork,Double Hamburger,124,310,130,15,6,1,60,400,26,1,6,18
Beef & Pork,Double Cheeseburger,135,350,160,18,9,1.5,70,580,27,1,7,20
Beef & Pork,Extra Long Cheeseburger,213,590,310,34,13,1.5,90,1040,45,2,9,26
Beef & Pork,Bacon Cheeseburger,111,300,130,15,6,1,50,710,27,1,7,15
Beef & Pork,Bacon Double Cheeseburger,139,370,180,20,9,1.5,75,660,27,1,7,21
Beef & Pork,Double Cheeseburger,135,350,160,18,8,1.5,70,580,27,1,7,20
Beef & Pork,Bacon Cheeseburger Deluxe,139,290,120,13,6,0.5,45,640,28,1,7,14
Beef & Pork,Classic Grilled Dog,123,310,140,16,6,1,30,960,32,2,10,11
Beef & Pork,Chili Cheese Grilled Dog,123,310,170,19,8,1,40,980,28,2,5,14
Chicken & Fish,Grilled Chicken Sandwich,229,470,170,19,4,0,85,840,39,6,7,37
Chicken & Fish,w/o Mayo,214,370,70,7,2,0,75,740,39,6,7,36
Chicken & Fish,Crispy Chicken Sandwich,228,670,370,41,7,0,60,1080,54,2,8,23
Chicken & Fish,w/o Mayo,200,460,160,17,3,0,50,890,54,2,7,23
Chicken & Fish,Original Chicken Sandwich,219,660,360,40,7,0,75,1170,48,2,5,28
Chicken & Fish,w/o Mayo,190,450,140,16,3.5,0,60,990,48,2,4,28
Chicken & Fish,Crispy Chicken Jr.,142,450,270,30,5,0,30,780,34,2,5,12
Chicken & Fish,Spicy Crispy Chicken Jr.,142,390,190,21,3.5,0,30,740,37,2,6,12
Chicken & Fish,Chicken Nuggets- 4pc,58,170,100,11,1.5,0,25,310,11,1,0,8
Chicken & Fish,Chicken Nuggets- 6pc,88,260,150,16,2.5,0,35,470,16,1,0,12
Chicken & Fish,Chicken Nuggets- 10 pc,146,430,240,27,4.5,0,55,780,27,2,0,20
Chicken & Fish,Chicken Nuggets- 20 pc,292,860,490,54,9,0,115,1570,53,3,1,39
Chicken & Fish,Chicken Fries - 9 pc.,91,280,150,17,2.5,0,35,850,20,1,1,13
Chicken & Fish,Jalapeno Chicken Fries,96,300,160,18,3,0,40,950,19,1,1,15
Chicken & Fish,BIG FISHTM Sandwich,188,510,250,28,4.5,0,30,1180,51,2,7,16
Chicken & Fish,BK VEGGIE® Burger **,219,390,140,15,2.5,0,5,1060,42,6,9,22
Chicken & Fish,w/o Mayo,209,310,60,7,1,0,0,990,42,6,9,22
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Kids Meals entrees,Kids Oatmeal,167,170,30,3,1.5,0,5,260,32,3,12,4
Kids Meals entrees,Chicken Nuggets- 4pc,58,170,100,11,1.5,0,25,310,11,1,0,8
Kids Meals entrees,Chicken Nuggets- 6pc,88,260,150,16,2.5,0,35,470,16,1,0,12
Kids Meals entrees,Hamburger,93,220,80,8,3,0.5,30,380,26,1,6,11
Kids Meals entrees,Cheeseburger,104,270,110,12,5,0.5,40,560,27,1,7,13
,,,,,,,,,,,,,
Kids Meals side items,Mott's® Natural Applesauce,111,50,0,0,0,0,0,0,13,1,11,0
,,,,,,,,,,,,,
Kids Meals beverage,Fat FREE Milk (8 fl oz),,90,0,0,0,0,5,125,13,0,12,9
Kids Meals beverage,1% Low Fat Chocolate Milk (8 fl oz),,160,25,2.5,1.5,0,15,150,26,0,25,8
Kids Meals beverage,Capri Sun® 100% Apple Juice,,80,0,0,0,0,0,25,20,0,20,0
Kids Meals beverage,Soft Serve Cone,120,190,40,4.5,3,0,20,150,32,0,24,5
Kids Meals beverage,Chocolate Chip cookie(in some areas),38,160,70,8,40,0,10,125,24,1,15,2
,,,,,,,,,,,,,
Salads,"Garden Chicken Salad with Grilled Chicken - nodressing",313,340,130,15,6,0,100,770,16,7,4,39
Salads,"Garden Chicken Salad with Crispy Chicken - nodressing",287,440,220,25,7,0,75,930,31,3,4,25
Salads,"Bacon Cheddar Ranch Chicken Salad with GrilledChicken and dressing",395,620,360,41,12,0,140,1640,18,7,6,46
Salads,"Bacon Cheddar Ranch Chicken Salad with CrispyChicken and dressing",369,710,450,50,13,0,110,1800,34,3,6,32
Salads,Garden Side Salad - w/o dressing,99,60,35,4,2.5,0,10,95,3,1,2,4
Snacks & Sides,Ken's Ranch Dressing,43,260,250,28,4,0,10,240,2,0,2,1
Snacks & Sides,Buttery Garlic Croutons- Packet,14,60,20,2.5,0,0,10,180,9,0,1,1
Snacks & Sides,Onion Rings - value,43,150,70,8,1.5,0,0,400,19,1,2,1
Snacks & Sides,Onion Rings - small,91,320,150,16,3,0,0,840,41,3,4,3
Snacks & Sides,Onion Rings - medium,117,410,190,21,3.5,0,0,1080,53,4,5,4
Snacks & Sides,Onion Rings - large,142,500,230,25,4.5,0,0,1310,64,5,7,5
Snacks & Sides,Cheesy Tots,128,310,140,15,1,0,0,780,34,3,0,9
Snacks & Sides,French Fries - value (Salted),89,220,90,10,1.5,0,0,330,31,2,0,3
Snacks & Sides,French Fries - small  (Salted),128,320,130,14,2.5,0,0,480,44,3,0,4
Snacks & Sides,French Fries - medium (Salted),153,380,150,17,3,0,0,570,53,4,0,5
Snacks & Sides,French Fries - large (Salted),173,430,170,19,3.5,0,0,640,60,4,0,6
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Breakfast,"Quaker® Oatmeal Maple Flavor (Artificialmaple flavor in Vermont only).",172,170,30,3,1.5,0,5,270,32,3,12,4
Breakfast,"Sausage, Egg, Cheese & Hash Brown Burrito",143,370,210,23,8,0,150,930,27,3,2,15
Breakfast,EGG-NORMOUS BurritoTM,362,910,490,55,16,0.5,320,2020,73,6,8,33
Breakfast,Supreme Breakfast Sandwich,312,880,530,59,21,1,375,2170,45,2,7,41
Breakfast,BKTM Ultimate Breakfast Platter,464,1190,590,66,15,0.5,320,2460,123,5,32,27
Breakfast,NY Ultimate Platter (Regional menu item),371,870,400,44,12,0,305,1650,95,4,31,22
Breakfast,Pancake and Sausage platter,217,610,280,31,9,0,80,1010,72,1,30,12
Breakfast,CROISSAN'WICH® Egg & Cheese,114,300,140,15,7,0,130,580,30,1,4,11
Breakfast,"CROISSAN'WICH® Sausage, Egg & Cheese",158,470,270,30,12,0,165,890,30,1,4,18
Breakfast,"CROISSAN'WICH® Ham, Egg & Cheese",145,330,140,16,7,0,145,1000,31,1,5,16
Breakfast,"CROISSAN'WICH® Bacon, Egg & Cheese",121,340,160,18,8,0,140,730,30,1,4,12
Breakfast,Fully Loaded CROISSAN'WICH®,218,610,360,40,17,0.5,225,1680,31,1,5,28
